number,available_bikes,available_bike_stands,last_update
11,8,22,"2025-02-22 15:22:03"
11,7,23,"2025-02-22 15:34:24"
11,7,23,"2025-02-22 15:42:15"
11,7,23,"2025-02-22 16:02:26"
11,8,22,"2025-02-22 16:22:38"
11,8,22,"2025-02-22 16:42:48"
11,8,22,"2025-02-22 16:52:54"
11,8,22,"2025-02-22 17:02:59"
11,8,22,"2025-02-22 17:23:10"
11,5,25,"2025-02-22 17:54:22"
11,4,26,"2025-02-22 18:03:40"
11,4,26,"2025-02-22 18:13:45"
11,3,27,"2025-02-22 18:23:52"
11,3,27,"2025-02-22 18:33:57"
11,3,27,"2025-02-22 18:44:02"
11,3,27,"2025-02-22 18:54:07"
11,3,27,"2025-02-22 19:14:18"
11,3,27,"2025-02-22 19:24:23"
11,3,27,"2025-02-22 19:34:28"
11,3,27,"2025-02-22 20:04:45"
12,2,18,"2025-02-18 10:31:56"
12,0,20,"2025-02-18 10:52:08"
12,0,20,"2025-02-18 11:12:19"
12,3,17,"2025-02-18 12:33:05"
12,2,18,"2025-02-18 13:03:24"
12,2,18,"2025-02-18 13:21:12"
12,2,18,"2025-02-18 13:23:37"
12,8,12,"2025-02-18 19:27:02"
12,7,13,"2025-02-18 19:47:13"
12,0,20,"2025-02-22 07:51:46"
12,0,20,"2025-02-22 08:01:49"
12,0,20,"2025-02-22 09:02:33"
12,0,20,"2025-02-22 09:12:35"
12,0,20,"2025-02-22 09:22:39"
12,0,20,"2025-02-22 09:42:47"
12,0,20,"2025-02-22 09:52:50"
12,0,20,"2025-02-22 10:23:01"
12,0,20,"2025-02-22 10:43:09"
12,1,19,"2025-02-22 11:03:16"
12,1,19,"2025-02-22 11:23:23"
12,1,19,"2025-02-22 11:33:27"
12,1,19,"2025-02-22 11:53:34"
12,2,18,"2025-02-22 12:19:54"
12,1,19,"2025-02-22 12:33:50"
12,0,20,"2025-02-22 12:53:59"
12,0,20,"2025-02-22 13:14:07"
12,0,20,"2025-02-22 13:34:14"
12,0,20,"2025-02-22 13:44:18"
12,1,19,"2025-02-22 14:21:34"
12,0,20,"2025-02-22 14:44:41"
12,0,20,"2025-02-22 14:54:45"
12,0,20,"2025-02-22 15:04:49"
12,0,20,"2025-02-22 15:14:52"
12,0,20,"2025-02-22 15:24:56"
12,0,20,"2025-02-22 15:45:04"
12,0,20,"2025-02-22 15:55:08"
12,0,20,"2025-02-22 16:15:16"
